???"COMPANY_SN","PERIOD","CNT"
"母公司","2024/2/1","5650"
"母公司","2024/3/1","23955"
"母公司","2024/4/1","21748"
"母公司","2024/5/1","25849"
"母公司","2024/6/1","21693"
"母公司","2024/7/1","19025"
"母公司","2024/8/1","20581"
"母公司","2024/9/1","21495"
"母公司","2024/10/1","18931"
"母公司","2024/11/1","22794"
"玫德艾瓦兹","2024/2/1","112"
"玫德艾瓦兹","2024/3/1","214"
"玫德艾瓦兹","2024/4/1","283"
"玫德艾瓦兹","2024/5/1","236"
"玫德艾瓦兹","2024/6/1","171"
"玫德艾瓦兹","2024/7/1","275"
"玫德艾瓦兹","2024/8/1","164"
"玫德艾瓦兹","2024/9/1","231"
"玫德艾瓦兹","2024/10/1","219"
"玫德艾瓦兹","2024/11/1","213"
"迈克阀门","2024/2/1","996"
"迈克阀门","2024/3/1","3739"
"迈克阀门","2024/4/1","4175"
"迈克阀门","2024/5/1","3520"
"迈克阀门","2024/6/1","3913"
"迈克阀门","2024/7/1","3792"
"迈克阀门","2024/8/1","3940"
"迈克阀门","2024/9/1","3803"
"迈克阀门","2024/10/1","3829"
"迈克阀门","2024/11/1","4163"
